id	label	type
"essay-94"	"Carlo Collodi, Pinocchio"	"essay"
"person-112"	"Barnum Phineas Taylor"	"person"
"essay-47"	"Il museo dei mostri di cera"	"essay"
"essay-113"	"II cielo, l'uomo, l'elefante (su Plinio il Vecchio)"	"essay"
"person-113"	"BaronJacques"	"person"
"essay-198"	"La filosofia di Raymond Queneau"	"essay"
"person-114"	"Barral Carlos"	"person"
"essay-372"	"Palomar nel Massachusetts"	"essay"
"person-115"	"BarrauJacques"	"person"
"essay-254"	"Palomar e l'enciclopedia"	"essay"
"person-116"	"Barrili Anton Giulio"	"person"
"essay-360"	"Savona: storia e natura"	"essay"
"person-117"	"BarthJohn"	"person"
"essay-396"	"La mia città è New York"	"essay"
"person-118"	"Barthelme Donald"	"person"
"essay-396"	"La mia città è New York"	"essay"
"person-119"	"Barthes Roland"	"person"
"essay-15"	"Vittorini: progettazione e letteratura"	"essay"
"essay-16"	"Filosofia e letteratura"	"essay"
"essay-19"	"Cibernetica e fantasmi (Appunti sulla narrativa come processo combinatorio)"	"essay"
"essay-21"	"Due interviste su scienza e letteratura"	"essay"
"essay-28"	"II romanzo come spettacolo"	"essay"
"essay-30"	"Per Fourier: 2. L'ordinatore dei desideri"	"essay"
"essay-42"	"I livelli della realtà in letteratura"	"essay"
"essay-54"	"In memoria di Roland Barthes"	"essay"
"essay-84"	"3. Esattezza"	"essay"
"essay-116"	"La conoscenza pulviscolare in Stendhal"	"essay"
"essay-117"	"Guida alla Chartreuse a uso dei nuovi lettori"	"essay"
"essay-378"	"Colloquio con Ferdinando Camon"	"essay"
"person-120"	"Bartholdi FreÃÅdeÃÅric Auguste"	"person"
"essay-45"	"Com'era nuovo il Nuovo Mondo"	"essay"
"person-121"	"Bart6k BeÃÅla"	"person"
"essay-328"	"Esami"	"essay"
"person-122"	"Basevi Enrica"	"person"
"essay-30"	"Per Fourier: 2. L'ordinatore dei desideri"	"essay"
"person-123"	"Basile Giambattista"	"person"
"essay-109"	"Le sette principesse di Nezami"	"essay"
"essay-221"	"Le fiabe africane"	"essay"
"essay-224"	"I racconti di Mamma l'Oca di Charles Perrault"	"essay"
"essay-225"	"La mappa delle metafore (Il Pentamerone di G.B. Basile)"	"essay"
"essay-227"	"La tradizione popolare nelle fiabe"	"essay"
"essay-232"	"Sette fiasche di lacrime"	"essay"
"essay-233"	"11 fantastico nella letteratura italiana"	"essay"
"person-124"	"Bassani Giorgio"	"person"
"essay-4"	"Tre correnti del romanzo italiano d'oggi"	"essay"
"essay-165"	"Le poesie politiche di Pavese"	"essay"
"essay-251"	"Lettera di uno scrittore «minore»"	"essay"
"essay-266"	"La paura di sbagliare"	"essay"
"essay-372"	"Palomar nel Massachusetts"	"essay"
"person-125"	"Bataille Georges"	"person"
"essay-15"	"Vittorini: progettazione e letteratura"	"essay"
"essay-26"	"Definizioni di territori: l'erotico (Il sesso e il riso)"	"essay"
"essay-90"	"La città-romanzo in Balzac"	"essay"
"essay-187"	"Biffures di Michel Leiris"	"essay"
"essay-198"	"La filosofia di Raymond Queneau"	"essay"
"essay-378"	"Colloquio con Ferdinando Camon"	"essay"
"person-126"	"Battaglia Roberto"	"person"
"essay-247"	"La prima guerra d'Africa vista dai nostri padri e vista dagli abissini"	"essay"
"person-127"	"Baudelaire Charles"	"person"
"essay-9"	"La sfida al labirinto"	"essay"
"essay-30"	"Per Fourier: 2. L'ordinatore dei desideri"	"essay"
"essay-53"	"Scrittori che disegnano"	"essay"
"essay-59"	"La città pensata: la misura degli spazi"	"essay"
"essay-62"	"Le avventure di tre orologiai e di tre automi"	"essay"
"essay-84"	"3. Esattezza"	"essay"
"essay-90"	"La città-romanzo in Balzac"	"essay"
"essay-114"	"Poe tradotto da Manganelli"	"essay"
"essay-116"	"La conoscenza pulviscolare in Stendhal"	"essay"
"essay-118"	"L'isola del tesoro ha il suo segreto"	"essay"
"essay-128"	"Roberto Calasso, La rovina di Kasch"	"essay"
"essay-151"	"Giovanni Macchia, Le rovine di Parigi"	"essay"
"essay-198"	"La filosofia di Raymond Queneau"	"essay"
"essay-199"	"Queneau e I fiori blu"	"essay"
"essay-231"	"Racconti fantastici dell'Ottocento"	"essay"
"person-128"	"Bauer Riccardo"	"person"
"essay-390"	"Ritratto di Massimo Mila"	"essay"
"person-129"	"Bausani Alessandro"	"person"
"essay-109"	"Le sette principesse di Nezami"	"essay"
"person-130"	"Baziin Francisco Garda"	"person"
"essay-94"	"Carlo Collodi, Pinocchio"	"essay"
"person-131"	"Bazlen Roberto (detto Bobi)"	"person"
"essay-125"	"Ricordo di Bobi Bazlen"	"essay"
"essay-171"	"In memoria di Sergio Solmi"	"essay"
"person-132"	"Bazzero Ambrogio"	"person"
"essay-235"	"Un'antologia di racconti «neri»"	"essay"
"person-133"	"Beatles"	"person"
"essay-64"	"L'arcipelago dei luoghi immaginari"	"essay"
"person-134"	"Beaumont- Mme Le Prince de"	"person"
"essay-224"	"I racconti di Mamma l'Oca di Charles Perrault"	"essay"
"person-135"	"Beckett Samuel"	"person"
"essay-3"	"Il mare dell'oggettività"	"essay"
"essay-9"	"La sfida al labirinto"	"essay"
"essay-15"	"Vittorini: progettazione e letteratura"	"essay"
"essay-16"	"Filosofia e letteratura"	"essay"
"essay-26"	"Definizioni di territori: l'erotico (Il sesso e il riso)"	"essay"
"essay-85"	"4. Visibilità"	"essay"
"essay-87"	"Appendice: Cominciare e finire"	"essay"
"essay-101"	"Charles Dickens, Our Mutuai Friend"	"essay"
"essay-233"	"11 fantastico nella letteratura italiana"	"essay"
"essay-234"	"Amica ironia di Guido Almansi"	"essay"
"essay-249"	"Corrispondenza con Angelo Guglielmi a proposito della Sfida al labirinto"	"essay"
"essay-261"	"Perché scrivete?"	"essay"
"essay-284"	"Reinhoud"	"essay"
"essay-375"	"Intervista di Alberto Arbasino"	"essay"
"person-136"	"BeÃÅcquer Gustavo Adolfo"	"person"
"essay-231"	"Racconti fantastici dell'Ottocento"	"essay"
"essay-233"	"11 fantastico nella letteratura italiana"	"essay"
